[46/100] 7.14 sec(s) Train Acc: 0.95763 | Val Acc: 0.92920 | Train Loss: 0.11437 | Val Loss: 0.32636
[47/100] 7.11 sec(s) Train Acc: 0.95822 | Val Acc: 0.92960 | Train Loss: 0.11485 | Val Loss: 0.32149
[48/100] 7.02 sec(s) Train Acc: 0.95779 | Val Acc: 0.92860 | Train Loss: 0.11683 | Val Loss: 0.32268
[49/100] 7.33 sec(s) Train Acc: 0.95987 | Val Acc: 0.92700 | Train Loss: 0.11318 | Val Loss: 0.32284
[50/100] 7.19 sec(s) Train Acc: 0.96001 | Val Acc: 0.92900 | Train Loss: 0.11235 | Val Loss: 0.32289
[51/100] 7.18 sec(s) Train Acc: 0.95972 | Val Acc: 0.92900 | Train Loss: 0.11058 | Val Loss: 0.31884
[52/100] 7.08 sec(s) Train Acc: 0.95968 | Val Acc: 0.92800 | Train Loss: 0.11246 | Val Loss: 0.32091
[53/100] 7.03 sec(s) Train Acc: 0.96040 | Val Acc: 0.92760 | Train Loss: 0.10950 | Val Loss: 0.31776
[54/100] 7.06 sec(s) Train Acc: 0.95968 | Val Acc: 0.92840 | Train Loss: 0.11273 | Val Loss: 0.31986
[55/100] 7.14 sec(s) Train Acc: 0.96018 | Val Acc: 0.92800 | Train Loss: 0.11351 | Val Loss: 0.31711
[56/100] 7.07 sec(s) Train Acc: 0.95999 | Val Acc: 0.92880 | Train Loss: 0.11028 | Val Loss: 0.31242
[57/100] 7.11 sec(s) Train Acc: 0.96007 | Val Acc: 0.92880 | Train Loss: 0.10863 | Val Loss: 0.31816
[58/100] 7.16 sec(s) Train Acc: 0.96057 | Val Acc: 0.93040 | Train Loss: 0.10850 | Val Loss: 0.31296
[59/100] 7.25 sec(s) Train Acc: 0.96012 | Val Acc: 0.92880 | Train Loss: 0.11081 | Val Loss: 0.31200
[60/100] 7.13 sec(s) Train Acc: 0.96125 | Val Acc: 0.92640 | Train Loss: 0.10689 | Val Loss: 0.32397
[61/100] 7.35 sec(s) Train Acc: 0.96098 | Val Acc: 0.92820 | Train Loss: 0.10805 | Val Loss: 0.32290
[62/100] 7.12 sec(s) Train Acc: 0.96098 | Val Acc: 0.92800 | Train Loss: 0.10829 | Val Loss: 0.32027
[63/100] 7.24 sec(s) Train Acc: 0.96057 | Val Acc: 0.92900 | Train Loss: 0.11074 | Val Loss: 0.32146
